id,Company Name,RSP Type,Days,Belize City,,Belmopan,,San Ignacio,,Benque Viejo
1,Shaw Bus Line,Regular,1234560,,,5:30am,5:45am,6:45am,7:00am,7:15am
2,Shaw Bus Line,Regular,1234560,,,5:45am,6:00am,7:00am,7:15am,7:30am
3,Morales,Express,1234560,,Boom,6:00am,6:15am,7:00am,7:15am,7:30am
4,Valencia,Express,1234560,,Boom,6:15am,6:30am,7:15am,7:30am,7:45am
5,Valencia,Express,1234560,,Boom,6:45am,7:00am,7:45am,8:00am,8:15am
6,Westline,Regular,123456,4:45am,5:00am,6:15am,6:30am,7:30am,7:45am,8:00am
7,Valencia,UB BMP Run,1,,5:15am,6:30am,,,,
8,Westline,Regular,1234560,5:45am,6:00am,7:15am,7:30am,8:30am,8:45am,9:00am
9,Leon Enriquez,,123456,,6:15am,7:15am,,,,
10,Westline,Workers Exp,12345,6:15am,6:30am,7:45am,,,,
11,Westline,Express,123456,6:45am,7:00am,8:00am,8:15am,9:00am,9:15am,9:30am
12,Westline,Regular,1234560,6:45am,7:00am,8:15am,8:30am,9:30am,9:45am,10:15am
13,Westline,Regular,123456,7:15am,7:30am,8:45am,9:00am,10:00am,10:15am,10:45am
14,Westline,Regular,1234560,7:45am,8:00am,9:15am,9:30am,10:30am,10:45am,11:15am
15,Westline,Regular,256,8:15am,8:30am,9:45am,10:00am,11:00am,11:15am,11:45am
16,Westline,Regular,234,8:30am,8:45am,10:00am,10:15am,11:15am,11:30am,12:00nn
17,Westline,Regular,1234560,8:45am,9:00am,10:15am,10:30am,11:30am,11:45am,12:15pm
18,Westline,Regular,123456,9:15am,9:30am,10:45am,11:00am,12:00nn,12:15pm,12:45pm
19,BBOC,Express,123456,9:45am,10:00am,11:00am,11:15am,12:00nn,12:15pm,12:30pm
20,BBOC,Regular,1234560,9:45am,10:00am,11:15am,11:30am,12:30pm,12:45pm,1:15pm
21,BBOC,Regular,1234560,10:15am,10:30am,12:00nn,12:15pm,1:15pm,1:30pm,1:45pm
22,BBOC,Regular,1234560,10:45am,11:00am,12:30pm,12:45pm,1:45pm,2:00pm,2:30pm
23,BBOC,Regular,1234560,11:15am,11:30am,12:45pm,1:00pm,2:00pm,2:15pm,2:45pm
