id,Company Name,RSP Type,Days,Belize City,,Belmopan,,Dangriga,,Placencia,,Independence,,Punta Gorda
1,Faustino Yaxcal,Reg,1234560,,,,,,,,,6:00am,6:15am,
2,Bryant Williams,,1234560,,,,,4:45am,5:00am,,,6:15am,6:30am,8:30am
3,Bryant Williams,,1234560,,,,,5:15am,5:30am,7:15am,7:15am,,,
4,Bryant Williams,,,,,,,5:45am,6:00am,,,7:15am,7:30am,9:30am
5,Dolores & Rose Sho,Reg,123456,,,,,6:45am,7:00am,,,8:15am,8:30am,10:30am
6,James Bus Line,Express,1234560,5:00am,5:15am,6:15am,6:30am,7:45am,8:00am,,,8:45am,9:00am,10:30am
7,Bryant Williams,Regular,1234560,,,,,8:15am,8:30am,10:15am,10:15am,,,
8,James Bus Line,Regular,1234560,6:00am,6:15am,7:15am,7:30am,9:00am,9:15am,,,10:30am,10:45am,12:45pm
9,James Bus Line,Regular,1234560,7:00am,7:15am,8:15am,8:30am,10:00am,10:15am,,,11:30am,11:45am,1:45pm
10,Dalmon Ritchie,Regular,1234560,7:30am,7:45am,9:00am,9:15am,10:45am,11:00am,12:45pm,12:45pm,,,
11,James Bus Line,Regular,1234560,8:00am,8:15am,9:15am,9:30am,11:00am,11:15am,,,12:30pm,12:45pm,2:45pm
12,James Bus Line,Regular,1234560,9:00am,9:15am,10:15am,10:30am,12:00nn,12:15pm,,,1:30pm,1:45pm,3:45pm
13,James Bus Line,Regular,1234560,10:00am,10:15am,11:15am,11:30am,1:00pm,1:15pm,,,2:30pm,2:45pm,4:45pm
14,Griga Line,Reg,123456,10:30am,10:45am,11:45am,12:00nn,1:30pm,,,,,,
15,Griga Line,Regular,1234560,11:00am,11:15am,12:15pm,12:30pm,2:00pm,,,,,,
16,Dalmon Ritchie,Regular,1234560,,,,,1:45pm,2:00pm,3:30pm,3:30pm,,,
17,Alberto Coleman,Regular,1234560,,,,,2:00pm,2:15pm,,,3:30pm,3;45pm,5:45pm
18,James Bus Line,Express,1234560,12:00nn,12:15pm,1:15pm,1:30pm,2:45pm,3:00pm,,,3:45pm,4:00pm,5:30pm
19,James Bus Line,Regular,1234560,12:00nn,12:15pm,1:15pm,1:30pm,3:00pm,3:15pm,,,4:30pm,4:45pm,6:45pm
20,Glen Young and Sons,Regular,123456,,,1:45pm,2:00pm,3:30pm,3:45pm,,,5:00pm,,
21,Cecil Gill,Regular,1234560,1:00pm,1:15pm,2:15pm,2:30pm,4:00pm,4:15pm,,,5:30pm,5:45pm,7:30pm
22,Edmund Pandy,,1234560,,,,,,,4:30pm,4:30pm,6:00pm,,
23,Dalmon Ritchie,Regular,1234560,,,,,4:15pm,4:30pm,6:00pm,6:00pm,,,
24,James Bus Line,Regular,1234560,1:30pm,1:45pm,2:45pm,3:00pm,4:30pm,4:45pm,,,6:00pm,6:15pm,8:15pm
25,Griga Line,Regular,1234560,2:00pm,2:15pm,3:15pm,3:30pm,5:00pm,,,,,,
26,Mateo Polanco,Regular,1234560,,,3:30pm,3:45pm,5:15pm,,,,,,
27,Dalmon Ritchie,Regular,1234560,2:30pm,2:45pm,3:45pm,4:00pm,5:30pm,,,,,,
28,James Bus Line,Regular,1234560,3:00pm,3:15pm,4:15pm,4:30pm,6:00pm,6:15pm,,,7:30pm,7:45pm,9:45pm
29,Dalmon Ritchie,N/S,1234560,3:15pm,3:30pm,4:30pm,4:45pm,6:15pm,6:30pm,8:00am,8:00am,,,
30,James Bus Line,N/S,1234560,3:30pm,3:45pm,4:45pm,5:00pm,6:15pm,6:30pm,,,7:15pm,7:30pm,9:00pm
31,James Bus Line,Regular,1234560,4:00pm,4:15pm,5:15pm,5:30pm,7:00pm,,,,,,
32,James Bus Line,Regular,1234560,5:00pm,5:15pm,6:15pm,6:30pm,8:00pm,,,,,,
33,James Bus Line,Regular,1234560,6:00pm,6:15pm,7:15pm,7:30pm,9:00pm,,,,,,
34,Cecil Gill,Regular,1234560,,,,,9:15pm,9:30pm,,,10:45pm,,
