id,Company Name,RSP Type,Days,Punta Gorda,,Independence,,Placencia,,Dangriga,,Belmopan,,Belize City
1,Griga Line,Reg,1234560,,,,,,,4:45am,5:00am,6:30am,6:45am,8:00am
2,Griga Line,Reg,123456,,,,,,,5:15am,5:30am,7:05am,7:20am,8:35am
3,Griga Line,Reg,1234560,,,,,,,5:45am,6:00am,7:30am,7:45am,9:00am
4,Mateo Polanco,Reg,1234560,,,,,,,5:45am,6:00am,7:30am,7:45am,
5,Cecil Gill,Reg,1234560,2:45am,3:00am,4:45am,5:00am,,,6:15am,6:30am,8:00am,8:15am,9:30am
6,Dalmon Ritchie,Reg,1234560,,,,,,,6:45am,7:00am,8:30am,8:45am,10:00am
7,James Bus Line,Express,1234560,3:45am,4:00am,5:15am,5:30am,,,6:15am,6:30am,7:45am,8:00am,9:15am
8,Edmund Pandy,Regular,1234560,,,5:15am,5:30am,7:00am,,,,,,
9,James Bus Line,Reg,1234560,3:45am,4:00am,5:45am,6:00am,,,7:15am,7:30am,9:00am,9:15am,10:30am
10,Glen Young  & Sons,,123456,,,,6:30am,,,7:45am,8:00am,9:30am,,
11,Dalmon Ritchie,Express,1234560,,,,,6:05am,6:15am,7:45am,8:00am,9:15am,9:30am,10:45am
12,James Bus Line,Reg,1234560,4:45am,5:00am,6:45am,7:00am,,,8:15am,8:30am,10:00am,10:15am,11:30am
13,James Bus Line,Exp,1234560,5:45am,6:00am,7:15am,7:30am,,,8:15am,8:30am,9:45am,10:00am,11:15am
14,Dalmon Ritchie,Reg,1234560,,,,,6:45am,7:00am,8:30am,,,,
15,James Bus Line,Reg,1234560,5:45am,6:00am,7:45am,8:00am,,,9:15am,9:30am,11:00am,11:15am,12:30pm
16,James Bus Line,Reg,1234560,,,,,,,10:15am,10:30am,12:00nn,12:15pm,1:30pm
17,James Bus Line,Reg,1234560,7:45am,8:00am,9:45am,10:00am,,,11:15am,11:30am,1:00pm,1:15pm,2:30pm
18,Byrant Williams,Reg,1234560,,,,,10:15am,10:30am,12:15pm,,,,
19,James Bus Line,Reg,1234560,,,,,,,12:15pm,12:30pm,2:00pm,2:15pm,3:30pm
20,Alberto Coleman,Regular,1234560,8:45am,9:00am,10:45am,11:00am,,,12:30pm,,,,
21,James Bus Line,Reg,1234560,9:45am,10:00am,11:45am,12:00nn,,,1:15pm,1:30pm,3:00pm,3:15pm,4:30pm
22,Dalmon Ritchie,Reg,1234560,,,,,12:30pm,12:45pm,2:15pm,,,,
23,Bryant Williams,Reg,1234560,10:45am,11:00am,12:45pm,1:00pm,,,2:15pm,,,,
24,James Bus Line,Reg,1234560,,,,,,,2:15pm,2:30pm,4:00pm,4:15pm,5:30pm
25,James Bus Line,Reg,1234560,11:45am,12:00nn,1:45pm,2:00pm,,,3:15pm,3:30pm,5:00pm,5:15pm,6:30pm
26,Dalmon Ritchie,Reg,1234560,,,,,2:15pm,2:30pm,4:15pm,4:30pm,6:00pm,6:15pm,7:15pm
27,Dolores & Rose Sho,Reg,123456,12:45pm,1:00pm,2:45pm,3:00pm,,,4:30pm,,,,
28,Faustino Yaxcal,Reg,1234560,,,3:15pm,3:30pm,,,,,,,
29,James Bus Line,Reg,1234560,1:45pm,2:00pm,3:45pm,4:00pm,,,5:15pm,5:30pm,7:00pm,7:15pm,8:30pm
30,James Bus Line,Express,1234560,2:45pm,3:00pm,4:15pm,4:30pm,,,5:15pm,5:30pm,6:45pm,7:00pm,8:15pm
31,Bryant Williams,Reg,1234560,,,,,5:15pm,5:30pm,7:15pm,,,,
32,James Bus Line,Reg,1234560,3:45pm,4:00pm,5:45pm,6:00pm,,,7:15pm,7:30pm,9:00pm,9:15pm,10:30pm
33,Cecil Gill (G-Line),Reg,1234560,,,6:15pm,6:30pm,,,7:45pm,,,,
34,Bryant Williams,Regular,1234560,4:45pm,5:00pm,6:45pm,7:00pm,,,8:15pm,,,,
