id,Company Name,RSP Type,Days,Santa Elena Border,,Corozal,,Sarteneja,,San Felipe,,Orange Walk,,Guinea Grass,,Burrell Boom Junction,,Pallotti Junction,,Belize City
1,Rudy Morales,Regukar/Exp,1234560,,,2:30am,2:45am,,,,,3:45am,4:00am,,,5:00am,5:00am,,,
2,Amelio Tillett Sr.,Regular,123456,,,,,,,4:15am,4:30am,5:00am,5:15am,,,6:15am,6:15am,6:45am,6:45am,7:00am
3,Joel Armstrong,Express,12345,,,,,,,,,4:15am,4:30am,,,,,,,6:00am
4,Amelio Tillett Jr. A,Regular,1234560,,,,,,,,,,,4:15am,4:30am,5:15am,5:15am,5:45am,5:45am,6:00am
5,Valencia's (Benque),Regular/Exp,1234560,,,2:45am,3:00am,,,,,4:00am,4:15am,,,5:15am,5:15am,,,
6,Julio Camal,Regular,123456,,,2:45am,3:00am,,,,,4:00am,4:15am,,,5:15am,5:15am,5:45am,5:45am,6:00am
7,Valencia UB RMP Run,,1,,,3:00am,3:15am,,,,,4:00am,4:15am,,,5:15am,5:15am,,,
8,Valencia's (Benque),Regular/Exp,1234560,,,3:15am,3:30am,,,,,4:30am,4:45am,,,5:45am,5:45am,,,
9,Victor Camal,Regular,1234560,,,3:15am,3:30am,,,,,4:30am,4:45am,,,5:45am,5:45am,6:15am,6:15am,6:30am
10,Amelio Tillet Sr. A,Regular,123456,,,,,,,,,,,4:45am,5:00am,5:45am,5:45am,6:15am,6:15am,6:30am
11,Amelio Tillet Jr A,,1234560,,,,,,,,,4:45am,5:00am,5:45am,,,,,,
12,Joshua's Bus Service,Exp- from Douglas,123456,,,,,,,,,4:45am,5:00am,,,6:00am,6:00am,6:15am,6:15am,6:30am
13,Albion'S Bus Service,Express,123456,,,,,,,,,5:00am,5:15am,,,6:15am,6:15am,6:30am,6:30am,6:45am
14,Leon Enriquez,Express to Bmp,1234560,,,,,,,,,5:00am,5:15am,,,6:15am,6:15am,,,
15,Amelio Tillett Jr.,,1234560,,,,,,,,,,,5:15am,5:30am,6:30am,6:30am,6:45am,6:45am,7:00am
16,Ovences Perez,Regular,123456,,,,,3:15am,3:30am,,,5:30am,5:45am,,,6:45am,6:45am,7:15am,7:15am,7:30am
17,Cabrera's Bus Service,Regular,1234560,,,3:45am,4:00am,,,,,5:00am,5:15am,,,6:15am,6:15am,6:45am,6:45am,7:00am
