id,Company Name,RSP Type,Days,San Pedro,,Caye Caulker,,Belize City
1,San Pedro Water Taxi,,,,6:00,6:30,6:30,7:15
2,San Pedro Water Taxi,,,,6:30,7:00,7:00,7:45
3,San Pedro Water Taxi,,,,7:30,8:00,8:00,8:45
4,San Pedro Water Taxi,,,,8:30,9:00,9:00,9:45
5,San Pedro Water Taxi,,,,10:00,10:30,10:30,11:15
6,San Pedro Water Taxi,,,,11:30,12:00,12:00,12:45
7,San Pedro Water Taxi,,,,13:00,13:30,13:30,14:15
8,San Pedro Water Taxi,,,,15:00,15:30,15:30,16:15
9,San Pedro Water Taxi,,,,16:30,17:00,17:00,17:45
10,Ocean Ferry,,,,6:30,7:00,7:00,7:45
11,Ocean Ferry,,,,8:00,8:30,8:30,9:15
12,Ocean Ferry,,,,10:00,10:30,10:30,11:15
13,Ocean Ferry,,,,13:00,13:30,13:30,14:15
14,Ocean Ferry,,,,16:00,16:30,16:30,17:15
